Sequence,Domain,Model,ModelType,Class,ClassDescription,Attribute,AttributeDescription,DataType,Context,SubContext,Nulls,IsPK,Relationship,FromClass,FromAttribute,FromCardinality,ToClass,ToAttribute,ToCardinality
1878,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACTMETHOD,"The CONTACTMETHOD table stores the ways that a CONTACT can be reached. For example, this can include e-mail address, phone number, fax number, web sites, or others. 
This table is used by the following domain. v Party Domain",LAST_UPDATE_TX_ID,"A unique, system-generated key that identifies the specific transaction within the log system that either created, updated, or deleted the data row.",BIGINT,,,Null,No,,,,,,,
1879,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACTMETHOD,"The CONTACTMETHOD table stores the ways that a CONTACT can be reached. For example, this can include e-mail address, phone number, fax number, web sites, or others. 
This table is used by the following domain. v Party Domain",CONT_METH_STD_IND,Indicates if this contact method has been standardized.,CHAR(1),,,Null,No,,,,,,,
1880,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYCONTENTREFERENCE,The ENTITYCONTENTREFERENCE table stores the content references of the content assets stored in external CMS. This table is used by the following domains. v Account Domain v Product Domain,CONTENT_REF_ID,A unique system-generated key that identifies a Content Reference in the system.,BIGINT,,,Not Null,Yes,,,,,,,
1881, ,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYCONTENTREFERENCE,The ENTITYCONTENTREFERENCE table stores the content references of the content assets stored in external CMS. This table is used by the following domains. v Account Domain v Product Domain,CONTENT_REF_1,Parameter defined in the CMS system to identify the Content Reference.,VARCHAR(250),,,Null,No,,,,,,,
1882,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYCONTENTREFERENCE,The ENTITYCONTENTREFERENCE table stores the content references of the content assets stored in external CMS. This table is used by the following domains. v Account Domain v Product Domain,CONTENT_REF_2,Parameter defined in the CMS system to identify the Content Reference.,VARCHAR(250),,,Null,No,,,,,,,
1883,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYCONTENTREFERENCE,The ENTITYCONTENTREFERENCE table stores the content references of the content assets stored in external CMS. This table is used by the following domains. v Account Domain v Product Domain,CONTENT_REF_3,Parameter defined in the CMS system to identify the Content Reference.,VARCHAR(250),,,Null,No,,,,,,,
1884,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYCONTENTREFERENCE,The ENTITYCONTENTREFERENCE table stores the content references of the content assets stored in external CMS. This table is used by the following domains. v Account Domain v Product Domain,CONTENT_REF_4,Parameter defined in the CMS system to identify the Content Reference.,VARCHAR(250),,,Null,No,,,,,,,
1885,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYCONTENTREFERENCE,The ENTITYCONTENTREFERENCE table stores the content references of the content assets stored in external CMS. This table is used by the following domains. v Account Domain v Product Domain,INSTANCE_PK,The actual primary key of the row in the logical entity that is associated with the content reference.,BIGINT,,,Null,No,,,,,,,
1886,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYCONTENTREFERENCE,The ENTITYCONTENTREFERENCE table stores the content references of the content assets stored in external CMS. This table is used by the following domains. v Account Domain v Product Domain,ENTITY_NAME,The name of the business entity.,VARCHAR(250),,,Null,No,,,,,,,
1887,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYCONTENTREFERENCE,The ENTITYCONTENTREFERENCE table stores the content references of the content assets stored in external CMS. This table is used by the following domains. v Account Domain v Product Domain,CONTENT_VERSION,The version of the content reference in the CMS system.,VARCHAR(250),,,Null,No,,,,,,,
1888,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYCONTENTREFERENCE,The ENTITYCONTENTREFERENCE table stores the content references of the content assets stored in external CMS. This table is used by the following domains. v Account Domain v Product Domain,START_DT,The date when this record becomes active.,TIMESTAMP,,,Not Null,No,,,,,,,
1889,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYCONTENTREFERENCE,The ENTITYCONTENTREFERENCE table stores the content references of the content assets stored in external CMS. This table is used by the following domains. v Account Domain v Product Domain,END_DT,The date when this record becomes inactive.,TIMESTAMP,,,Null,No,,,,,,,
1890,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYCONTENTREFERENCE,The ENTITYCONTENTREFERENCE table stores the content references of the content assets stored in external CMS. This table is used by the following domains. v Account Domain v Product Domain,REPOSITORY_TP_CD,Identifies the Repository within the CMS System.,BIGINT,,,Null,No,,,,,,,
1891,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYCONTENTREFERENCE,The ENTITYCONTENTREFERENCE table stores the content references of the content assets stored in external CMS. This table is used by the following domains. v Account Domain v Product Domain,LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
1892,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYCONTENTREFERENCE,The ENTITYCONTENTREFERENCE table stores the content references of the content assets stored in external CMS. This table is used by the following domains. v Account Domain v Product Domain,LAST_UPDATE_TX_ID,"A unique, system-generated key that identifies the specific transaction within the log system that either created, updated, or deleted the data row.",BIGINT,,,Null,No,,,,,,,
1893,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYCONTENTREFERENCE,The ENTITYCONTENTREFERENCE table stores the content references of the content assets stored in external CMS. This table is used by the following domains. v Account Domain v Product Domain,LAST_UPDATE_USER,The ID of the user who last updated the data.,VARCHAR(20),,,Null,No,,,,,,,
1894,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYCONTENTREFERENCE,The ENTITYCONTENTREFERENCE table stores the content references of the content assets stored in external CMS. This table is used by the following domains. v Account Domain v Product Domain,DOCUMENT_NAME,The name of the document in the CMS system.,VARCHAR(250),,,Null,No,,,,,,,
1895,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYCONTENTREFERENCE,The ENTITYCONTENTREFERENCE table stores the content references of the content assets stored in external CMS. This table is used by the following domains. v Account Domain v Product Domain,AUTHOR,The document author name in the CMS system.,VARCHAR(250),,,Null,No,,,,,,,
1896,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYSPECUSE,The ENTITYSPECUSE table defines the way a spec will be used to define an entity such as a product. This table is used by the following domain. v Product Domain,SPEC_USE_ID,"A unique, system-generated key that identifies the usage of a spec by an entity in the system.",BIGINT,,,Not Null,Yes,,,,,,,
1897,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYSPECUSE,The ENTITYSPECUSE table defines the way a spec will be used to define an entity such as a product. This table is used by the following domain. v Product Domain,ENTITY_NAME,The type of entity this spec use is related to.,VARCHAR(250),,,Not Null,No,,,,,,,
1898,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYSPECUSE,The ENTITYSPECUSE table defines the way a spec will be used to define an entity such as a product. This table is used by the following domain. v Product Domain,INSTANCE_PK,The primary key of the related entity.,BIGINT,,,Not Null,No,,,,,,,
1899,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYSPECUSE,The ENTITYSPECUSE table defines the way a spec will be used to define an entity such as a product. This table is used by the following domain. v Product Domain,SPEC_ID,"A unique, system-generated key that identifies a spec in the system.",BIGINT,,,Not Null,No,,,,,,,
1900,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYSPECUSE,The ENTITYSPECUSE table defines the way a spec will be used to define an entity such as a product. This table is used by the following domain. v Product Domain,SPEC_USE_TP_CD,The code assigned to the spec use type.,BIGINT,,,Not Null,No,,,,,,,
1901,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYSPECUSE,The ENTITYSPECUSE table defines the way a spec will be used to define an entity such as a product. This table is used by the following domain. v Product Domain,SPEC_CASCADE_TP_CD,"The code assigned to the cascade action type for a spec. For example, if this spec is cascaded to descendents in the entity's hierarchy.",BIGINT,,,Not Null,No,,,,,,,
1902,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYSPECUSE,The ENTITYSPECUSE table defines the way a spec will be used to define an entity such as a product. This table is used by the following domain. v Product Domain,EXPLICIT_DEF_IND,Indicates that the spec has been defined for the first time on this entity.,CHAR(1),,,Not Null,No,,,,,,,
1903,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYSPECUSE,The ENTITYSPECUSE table defines the way a spec will be used to define an entity such as a product. This table is used by the following domain. v Product Domain,METADATA_INFO_TP_CD,The code assigned to the metadata info type.,BIGINT,,,Not Null,No,,,,,,,
1904,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYSPECUSE,The ENTITYSPECUSE table defines the way a spec will be used to define an entity such as a product. This table is used by the following domain. v Product Domain,START_DT,The date when this record becomes active.,TIMESTAMP,,,Not Null,No,,,,,,,
1905,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYSPECUSE,The ENTITYSPECUSE table defines the way a spec will be used to define an entity such as a product. This table is used by the following domain. v Product Domain,END_DT,The date when this record becomes inactive.,TIMESTAMP,,,Null,No,,,,,,,
1906,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYSPECUSE,The ENTITYSPECUSE table defines the way a spec will be used to define an entity such as a product. This table is used by the following domain. v Product Domain,LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
1907,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYSPECUSE,The ENTITYSPECUSE table defines the way a spec will be used to define an entity such as a product. This table is used by the following domain. v Product Domain,LAST_UPDATE_USER,The ID of the user who last updated the data.,VARCHAR(20),,,Null,No,,,,,,,
1908,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ENTITYSPECUSE,The ENTITYSPECUSE table defines the way a spec will be used to define an entity such as a product. This table is used by the following domain. v Product Domain,LAST_UPDATE_TX_ID,"A unique, system-generated key that identifies the specific transaction within the log system that either created, updated, or deleted the data row.",BIGINT,,,Null,No,,,,,,,
